name,date_of_birth,height,weight,spike,block,position_number,country
Barbara Frangella,17/02/1996,179,68,289,280,1,2
Mariana Moriondo,02/12/1995,173,69,268,260,3,2
Martina Guastavino,18/07/1995,180,70,285,275,3,2
Agnes Victoria Michel Tosi,01/07/1999,182,69,283,273,3,2
Azul Benitez,05/02/1998,165,60,260,245,1,2
Sol Piccolo,11/09/1996,184,74,294,282,2,2
Anahi Florencia Tosi,10/07/1998,181,60,290,272,2,2
Irene Verasio,14/07/1996,178,59,283,271,2,2
Antonela Fortuna,10/05/1995,175,61,285,275,2,2
Micaela Esperon,02/04/1995,170,58,255,245,6,2
Camila Hiruela Tapia,01/02/1997,176,77,287,280,2,2
Daniela Bulaich Simian,05/09/1997,172,53,274,263,4,2
Drussyla Costa,01/07/1996,182,73,304,286,2,10
Bruna Costa,30/01/1995,170,65,276,275,1,10
Maira Cipriano Claro,07/03/1995,187,62,300,278,2,10
Gabriela Candido Da Silva,22/05/1996,181,75,296,285,2,10
Lays Fernanda Oliveira De Freitas,13/10/1995,185,77,292,281,3,10
Lyara Medeiros,19/09/1996,184,67,297,285,1,10
Ingrid Rizzatti,05/06/1997,187,65,295,280,3,10
Lorenne Teixeira,08/01/1996,185,73,295,283,4,10
Edinara Brancher,01/02/1996,186,80,295,285,2,10
Natália Araujo,10/04/1997,162,59,228,215,6,10
Mayany Souza,24/11/1996,185,62,293,282,3,10
Talia Costa,10/07/1997,178,64,290,281,2,10
Gergana Dimitrova,28/02/1996,184,71,305,288,2,9
Polina Neykova,07/10/1998,182,73,287,280,1,9
Vangeliya Rachkovska,19/07/1997,185,67,296,281,2,9
Iveta Stanchulova,11/08/1997,186,72,290,285,3,9
Mirela Shahpazova,28/10/1997,175,65,280,270,1,9
Miroslava Paskova,16/02/1996,180,67,299,280,2,9
Monika Krasteva,09/05/1999,183,64,292,285,2,9
Ralina Doshkova,07/06/1995,188,64,303,295,4,9
Elitsa Barakova,11/03/1997,184,60,290,280,3,9
Mariya Dancheva,04/12/1995,195,73,314,302,3,9
Silvana Chausheva,19/05/1995,188,75,305,290,4,9
Zhana Todorova,06/01/1997,170,56,271,255,6,9
Meizi Gong,17/04/1995,175,75,280,270,6,5
Kailun Yan,17/07/1995,192,70,315,310,3,5
Xiaoqing Cai,05/04/1998,179,71,305,295,2,5
Ruilei Huang,08/05/1996,196,81,303,296,3,5
Ye Jin,01/03/1996,187,77,310,302,2,5
Yuezhou Zhu,27/03/1995,185,72,301,296,4,5
Meili Song,23/02/1995,186,75,310,300,2,5
Peiyan Chen,16/09/1999,193,79,318,309,4,5
Jiarui Yu,23/10/1997,180,74,295,290,1,5
Long Cheng,10/01/1995,185,75,305,295,1,5
Yanxi Lei,20/01/1995,186,70,310,305,3,5
Yunlu Wang,20/05/1996,192,82,310,301,2,5
Jessica Aguilera Carbajal,25/05/1999,184,68,311,302,3,31
Laura Beatriz Suarez Hernandez,13/12/1998,185,75,304,292,3,31
Dalila Palma Rodriguez,18/11/1999,182,62,301,285,4,31
Diaris De La Caridad Perez Ramos,16/11/1998,182,75,304,295,2,31
Dayessi Luis Ruiz,23/10/1996,170,60,288,248,6,31
Gretell Elena Moreno Borrero,30/01/1998,183,68,287,280,1,31
Ailama Cese Montalvo,29/10/2000,188,58,322,308,2,31
Liset Herrera Blanco,06/12/1998,192,70,311,300,3,31
Claudia Hernandez Aguila,09/01/1997,181,78,225,223,2,31
Yelennis Diaz Cairo,14/10/1995,189,71,300,298,3,31
Heidy Casanova Alvarez,06/11/1998,184,78,244,240,4,31
Yamisleydis Viltres Pacheco,26/07/2001,189,73,247,244,3,31
Aya Elshamy,27/11/1995,186,77,297,279,4,29
Mariam Ahmed,05/09/1995,168,57,262,255,6,29
Doaa Abdelghany,21/06/1996,185,70,289,273,1,29
Mariam Ebrahim,13/03/1997,167,63,273,261,1,29
Farida El Askalany,14/02/1995,186,65,278,264,3,29
Nourallah Amin,25/11/2000,184,70,285,276,3,29
Rahma Almohandes,09/11/1996,175,63,277,265,2,29
Doaa Elghobashy,08/11/1996,180,74,285,275,2,29
Lina Abdou,06/11/1996,173,65,282,262,2,29
Aya Ahmed,27/04/1996,183,68,270,262,3,29
Alaa Badawy,13/02/1996,174,70,188,176,3,29
Sarah Hanafy,15/04/1997,178,73,265,255,2,29
